no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
670,O)[C@@H]3C)OC(=O)CS[C@@H]4CC[C@@H](N)C[C@H]4OCNCC[C@@H](O)[C@@H]1C[C@@H](CN1),C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CS[C@H]4CC[C@@H]([NH3+])C[C@H]4OC[NH2+]CC[C@@H](O)[C@@H]1C[C@@H](C[NH,1.32,1.05,3.96,5.62,6.4,4.91,0.17,0.15,0.12,0.02,0.60,0.75,0.81,0.69,-0.77,-0.82
671,SC2=C(N3[C@H]([C@H]2C)[C@@H]([C@@H](C)O)C3=O)C(O)=OOC(=O)CSC1=NN=C(Br)[N]1C2=CC=C(C3CC,2+]1)SC2=C(N3[C@H]([C@@H]2C)[C@@H]([C@@H](C)O)C3=O)C([O-])=O[O-,0.22,0.37,2.02,2.41,1.48,1.76,,,0.66,-0.44,0.31,0.38,0.17,0.24,,
672,3)C4=CC=CC=C24N#CC1=CC=C(C=C1)C([N]2C=NC=N2)C3=C,]C(=O)CSC1=NN=C(Br)[N]1C2=C3C=CC=CC3=C(C=C2)C4CC4N#CC1=CC=C(C=C1)C([N]2C=NC=N2)C3=CC=C(C,0.29,0.32,1.43,1.30,5,4.97,0.02,0.02,0.54,-0.49,0.16,0.11,0.70,0.70,-1.70,-1.78
673,C=C(C=C3)C#N,=C3)C#N,1.9,1.51,0.57,0.92,45,22.32,0.41,0.20,0.28,0.18,-0.24,-0.04,1.65,1.35,-0.39,-0.69
674,CC[C@H](N1CCCC1=O)C(N)=OCCCCN1CCCC[C@H]1C(=O)NC2=C(C)C=C,CC[C@H](N1CCCC1=O)C(N)=OCCCC[NH+]1CCCC[C@H]1C(=O)NC2=C(C)C=CC=,0.6,0.76,0.9,1.40,8.23,5.56,0.9,0.86,0.22,-0.12,-0.05,0.15,0.92,0.75,-0.05,-0.07
675,C=C2CC[C@@H]1CN(CC[C@]1(C(O)=O)C2=CC=C,C2CC[C@@H]1C[NH+](CC[C@]1(C([O-,0.49,0.83,8.7,6.34,0.79,1.64,0.03,0.05,0.31,-0.08,0.94,0.80,-0.10,0.21,-1.52,-1.29
676,C=C2)C3CCC(CC3)(C#N)C4=CC=C(F)C=C4677N[C@@H](CC1=CC=C(O)C(=C1)O)C(O)=O[NH3+][C@@H](CC1=CC(=C(O)C=C1)O)C([O-])=OC[C@H]1COC2=C(N3CCN(C)CC3)C(=CC4=,])=O)C2=CC=CC=C2)C3CCC(CC3)(C#N)C4=CC=C(F)C=C4C[C@H]1COC2=C3N1C=C(C([O-,1.17,1.31,0.43,0.83,33,18.01,0.453,0.20,0.07,0.12,-0.37,-0.08,1.52,1.26,-0.34,-0.70
678,C2N1C=C(C(O)=O)C4=O)FNC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(,])=O)C(=O)C3=CC(=C2N4CC[NH+](C)CC4)FNC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3),1.2,1.44,1.9,2.24,8.8,8.26,0.75,0.65,0.08,0.16,0.28,0.35,0.94,0.92,-0.12,-0.19
679,C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1COC1=CC=C2SC3=CC=CC=C3N(C[C@H](C),C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)C[N,0.27,0.34,4.1,3.79,1.1,1.63,,,0.57,-0.47,0.61,0.58,0.04,0.21,,
680,CN(C)C)C2=C1CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O,H+](C)C)C=C1CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C,12,6.26,9.9,10.74,30,21.09,,,1.08,0.80,1.00,1.03,1.48,1.32,,
681,)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#CCNC[C@H](O)CC12CCC(C3=CC=CC=C13)C,@H]34)[C@@H]1CC[C@@]2(O)C#CC[NH2+]C[C@H](O)CC12CCC(C3=C1C=CC=C3)C4,1.5,1.36,1.8,2.49,9.4,5.52,0.025,0.03,0.18,0.13,0.26,0.40,0.97,0.74,-1.60,-1.55
682,4=CC=CC=C24CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C,=C2C=CC=C4C[NH+]1CC[C@@]23CCCC[C@H]2[C@H]1CC4=C3,18.8,14.93,14.6,12.88,18.8,16.54,,,1.27,1.17,1.16,1.11,1.27,1.22,,
683,3C=C(O)C=C4C[C@@H]1CC(=O)NN=C1C2=CC=C(NN=C(,C=C(O)C=C4C[C@@H]1CC(=O)NN=C1C2=CC=C(NN=C(C#N)C#,11.5,5.22,15.7,16.46,13.5,10.12,0.6,0.26,1.06,0.72,1.20,1.22,1.13,1.01,-0.22,-0.59
684,C#N)C#N)C=C2NCCCC[C@H](N[C@H]1CCC2=C(C=CC=C2),N)C=C2[NH3+]CCCC[C@H]([NH2+][C@H]1CCC2=C(C=CC,0.24,0.40,3.8,4.32,1.1,2.29,0.02,0.03,0.62,-0.40,0.58,0.64,0.04,0.36,-1.70,-1.51
685,N(CC(O)=O)C1=O)C(O)=ONC(=O)N1C2=C(CC(O)C3=C1C=CC=C3)C=C,=C2)N(CC([O-])=O)C1=O)C([O-])=ONC(=O)N1C2=C(C[C@H](O)C3=C1C=CC=C3)C=CC,1.98,1.57,1.23,1.71,,,,,0.30,0.20,0.09,0.23,,,,
686,C=C2,=C2,0.72,0.91,0.88,1.48,9.8,8.70,0.7,0.33,0.14,-0.04,-0.06,0.17,0.99,0.94,-0.15,-0.48
687,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C688CC#CC[N]1C(=NC2=C1C(=O)N(CC3=NC4=CCC#CC[N]1C(=NC2=C1C(=O)N(CC3=NC4=CC=CC=](O)[C@@H](O)[C@H]2OCC(=O)NC[C@H]1CN(C(=O)O1)C2=CC=C(N,CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1CH](O)[C@@H]2OCC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N,1.8,1.58,16,10.89,1.6,2.03,0.33,0.28,0.26,0.20,1.20,1.04,0.20,0.31,-0.48,-0.55
690,3CCOCC3)C(=C2)F,3CCOCC3)F,0.58,0.68,1.8,2.99,4.5,3.53,0.69,0.55,0.24,-0.16,0.26,0.48,0.65,0.55,-0.16,-0.26
691,OC(=O)CCCC[C@@H]1CCSS1,[O-]C(=O)CCCC[C@@H]1CCSS1,0.1,0.14,11.5,7.96,0.21,0.31,,,1.00,-0.86,1.06,0.90,-0.68,-0.50,,
692,OC(=O)CCCC[C@H]1CCSS1C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H,[O-]C(=O)CCCC[C@H]1CCSS1C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H]([NH3,0.11,0.14,13.4,8.43,0.21,0.31,,,0.96,-0.86,1.13,0.93,-0.68,-0.51,,
693,](N)CCCCNNCCCC[C@H](N[C@@H](CCC1=CC=CC=C,+])CCCC[NH3+][NH3+]CCCC[C@H]([NH2+][C@@H](CCC1=CC=C,0.6,0.76,17,13.06,1.2,1.89,,,0.22,-0.12,1.23,1.12,0.08,0.28,,
694,1)C(O)=O)C(=O)N2CCC[C@H]2C(O)=OCCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2C,C=C1)C([O-])=O)C(=O)N2CCC[C@H]2C([O-])=OCCN(CC)C(=O)N[C@@H]1C[NH+](C)[C@@H]2CC,0.89,0.81,1.2,1.64,42,15.35,1,0.68,0.05,-0.09,0.08,0.22,1.62,1.19,0.00,-0.17
695,C3=C[NH]C4=CC=CC(=C34)C2=C1CCN1C=C(C(O)=O)C(=O)C2=CC(=C(N3CCN[,3=C[NH]C4=C3C(=CC=C4)C2=C1CCN1C=C(C([O-,1.73,2.16,13.3,10.05,1.8,2.49,,,0.24,0.34,1.12,1.00,0.26,0.40,,
696,C@@H](C)C3)C(=C12)F)FNC1=NC(=C2[NH]C=NC2=N1)OCC3=CC(=C,])=O)C(=O)C2=C1C(=C(N3CC[NH2+][C@@H](C)C3)C(=C2)F)F,2.04,1.62,3.98,3.17,8.1,7.80,,,0.31,0.21,0.60,0.50,0.91,0.89,,
697,S3)BrFC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(,NC1=NC2=C([NH]C=N2)C(=N1)OCC3=CC(=CS3)BrFC(F)(F)CNC(=O)C1(CCCC[NH+]2CCC(CC2)NC(=O,,,21.55,9.85,2.92,4.08,,,,,1.33,0.99,0.47,0.61,,
698,=O)C3=C(C=CC=C3)C4=CC=C(C=C4)C(F)(F)F)C5=C(C=CC=C5)C6=C1C=CC=C6,)C3=C(C=CC=C3)C4=CC=C(C=C4)C(F)(F)F)C5=C(C0.0020.0038=CC=C5)C6=C1C=CC=C6,16.3,11.24,8.7,5.35,39.7,33.22,,,1.21,1.05,0.94,0.73,1.60,1.52,-2.70,-2.42
699,CC(C)N1CCC(CC1)N(C(=O)CC2=CC=CC=C2,CC(C)[NH+]1CCC(CC1)N(C(=O)CC2=CC=CC=C2)C,1.3,1.31,1,1.38,17,14.58,0.09,0.03,0.11,0.12,0.00,0.14,1.23,1.16,-1.05,-1.48
700,,,6.6,5.24,16,10.50,6.5,9.63,0.15,0.10,0.82,0.72,1.20,1.02,0.81,0.98,-0.82,-1.01
701,CCCCC1=NC(=C(CO)[N]1CC2=CC=C(C=C2),CCCCC1=NC(=C(CO)[N]1CC2=CC=C(C=C2)C3=C(,1.6,1.18,4,2.87,4.9,6.54,0.12,0.07,0.20,0.07,0.60,0.46,0.69,0.82,-0.92,-1.14
702,CC1=C(C=C(C=C1F)C(=O)NC2CC2)C3=CC=,CC1=C(C=C(C=C1F)C(=O)NC2CC2)C3=NC=C(C=C,0.37,0.47,8.2,4.70,1.8,3.04,0.01,0.01,0.43,-0.33,0.91,0.67,0.26,0.48,-2.00,-1.92
703,C(C=N3)C(=O)NCC(C)(C)CCC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=,3)C(=O)NCC(C)(C)CCC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=,1.67,2.10,3.77,3.34,6.95,7.91,,,0.22,0.32,0.58,0.52,0.84,0.90,,
704,C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12CCCCCN(CCCOC)C(=O)C(CCC(O)=O)NC(=,C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@@H]12CCCCCN(CCCOC)C(=O)[C@@H](CCC([O-,0.87,0.48,7.2,6.44,1.4,1.71,0.043,0.05,0.06,-0.32,0.86,0.81,0.15,0.23,-1.37,-1.26
705,CN(C1CCN(CC1)C[C@H](O)COC2=CC=C(F),CN(C1CC[NH+](CC1)C[C@H](O)COC2=CC(=C(F)C,0.24,0.30,1,1.74,5.2,2.95,,,0.62,-0.52,0.00,0.24,0.72,0.47,,
706,C(=C2)F)C3=NC4=CC=CC=C4S3COC1=CC=C2[NH]C3=C(CCN[C@]34CS[C@H]5[C@H]6[C@@H]7N(C)[C@@H](CC8=C7,=C2)F)C3=NC4=C(S3)C=CC=C4COC1=CC2=C([NH]C3=C2CC[NH2+][C@]34CS[C@H]5[C@H]6[C@H]7[NH+](C)[C@@H](CC8=C7C(=C,2.6,4.35,1.7,2.50,21.6,17.43,0.003,0.01,0.41,0.64,0.23,0.40,1.33,1.24,-2.52,-2.15
707,C(=C(OC)C(=C8)C)O)[C@H](O)N6[C@@H](COC4=O)C9=C5C(=C(C)C%10=C9OCO%10)OC(C)=O)C2=C1CC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=,(OC)C(=C8)C)O)[C@H](O)[NH+]6[C@@H](COC4=O)C9=C5C(=C(C)C%10=C9OCO%10)OC(C)=O)C=CCC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=C3N=C,7.3,5.80,2.76,3.67,50.68,32.03,,,0.86,0.76,0.44,0.56,1.70,1.51,,
708,C3N=C5C=C6OCCOC6=CC5=C4CN7CCN(C)CC7)C2=OFC1=C[C@H]2CN(CCN3C=C(C(=C1)[C@H]2,5C=C6OCCOC6=CC5=C4C[NH+]7CC[NH+](C)CC7)C2=OFC1=C[C@H]2CN(CCN3C=C(C(=C1)[C@H]23)C4=,4.77,3.79,25.07,13.86,3.54,4.51,,,0.68,0.58,1.40,1.14,0.55,0.65,,
709,3)C4=C(C(=O)NC4=O)C5=C[N]6C=CC=CC6=N5)C(=O)N7CCCCC7CSCC[C@H](N)C(=O)N[C@]1(C[S](=O)(=O)[,C(C(=O)NC4=O)C5=C[N]6C=CC=CC6=N5)C(=O)N7CCCCC7CSCC[C@H]([NH3+])C(=O)N[C@@]1(C[S](=O)(=O),1.2,1.19,10.3,5.20,2.7,4.15,0.02,0.03,0.08,0.07,1.01,0.72,0.43,0.62,-1.70,-1.53
710,C@H]2[C@@H]([C@@H]12)C(O)=O)C(O)=ON[C@]1(C[S](=O)(=O)[C@H]2[C@@H]([C@,[C@H]2[C@@H]([C@@H]12)C([O-])=O)C([O-])=O[NH3+][C@]1(C[S](=O)(=O)[C@H]2[C@@H]([C@@,0.44,0.42,9.73,5.85,0.84,1.02,,,0.36,-0.38,0.99,0.77,-0.08,0.01,,
711,@H]12)C(O)=O)C(O)=OCC(C)C1=NN=C(C)[N]1C2C[C@@H]3CC[C,H]12)C([O-])=O)C([O-])=OCC(C)C1=NN=C(C)[N]1C2C[C@H]3CC[C@H](C2)[,0.21,0.26,2.4,3.01,1.23,1.96,,,0.68,-0.58,0.38,0.48,0.09,0.29,,
714,@H](C2)N3CC[C@@H](NC(=O)C4CCC(F)(F)CC4)C5=CC=CC=C5,NH+]3CC[C@@H](NC(=O)C4CCC(F)(F)CC4)C5=CC=CC=C5,2.3,1.83,9.4,7.36,12.8,10.61,0.25,0.15,0.36,0.26,0.97,0.87,1.11,1.03,-0.60,-0.83
715,C(=CC=C23)C(F)(F)FCC(C)OC1=CC=CC=C1N2CCN(CC2)CC3=CC,0.00380.01=CC(=C3)C(F)(F)FCC(C)OC1=C(C=CC=C1)N2CC[NH+](CC2)CC3=CC(,10,7.94,15,7.68,37,24.94,,,1.00,0.90,1.18,0.89,1.57,1.40,-2.42,-2.06
716,=CC(=C3)C(=O)N4CCCCC4NC1=NC2=NC=C(CCC3=CC=C(C=C3)C(=O),=CC=C3)C(=O)N4CCCCC4NC1=NC2=NC=C(CCC3=CC=C(C=C3)C(=O)N[C@,1.54,1.85,6.17,4.78,4.6,5.76,0.011,0.01,0.19,0.27,0.79,0.68,0.66,0.76,-1.96,-1.85
717,N[C@@H](CC(=C)C(O)=O)C(O)=O)N=C2C(=N1)NCC1=C(O)C=CC2=C1OC[C@H]([C@H]2C3=,@H](CC(=C)C([O-])=O)C([O-])=O)N=C2C(=N1)NCC1=C2OC[C@H]([C@@H](C3=CC=C(O)C=C3)C2,0.7,0.56,3.08,2.46,8.2,5.98,,,0.15,-0.25,0.49,0.39,0.91,0.78,,
718,CC=C(O)C=C3)C4=CC=C(O)C=C4COC(=O)NC1=NC2=CC(=CC=C2[NH]1)C(=O,=CC=C1O)C4=CC=C(O)C=C4COC(=O)NC1=NC2=C([NH]1)C=CC(=C2)C(=O)C3=,1.2,1.25,8.42,7.46,5.3,3.79,,,0.08,0.10,0.93,0.87,0.72,0.58,,
719,)C3=CC=CC=C3720CN(C)CC(OC1=CC=CC=C1)OC2=CC=CC=C2C[NH+](C)CC(OC1=CC=CC=C1)OC2=CC=CC=C2CC(CCC1=CC=C2OCOC2=C1)NCC(O)C3=CC,CC=CC=C3C[C@H](CCC1=CC2=C(OCO2)C=C1)[NH2+]C[C@,1.2,0.95,15,7.52,1.1,2.25,0.086,0.07,0.08,-0.02,1.18,0.88,0.04,0.35,-1.07,-1.16
721,=C(O)C(=C3)C(N)=ONC(=N)C1=CC=C(CNC(=O)[C@@H]2CCN2C,@H](O)C3=CC(=C(O)C=C3)C(N)=ONC(=[NH2+])C1=CC=C(CNC(=O)[C@@H]2CCN2C(,7.9,6.28,16,9.93,11,8.01,,,0.90,0.80,1.20,1.00,1.04,0.90,,
722,(=O)[C@H](NCC(O)=O)C3CCCCC3)C=C1723COC1=CC2=C([NH]C=C2CCNC(C)=O)C=C1CN1C(=C(O)C2=CC=CC=C2[S]1(=O)=O)C(=,=O)[C@H]([NH2+]CC([O-])=O)C3CCCCC3)C=C1COC1=CC2=C([NH]C=C2CCNC(C)=O)C=C1CN1C(=C([O-,0.23,0.29,1.9,2.42,1.6,2.12,0.93,0.66,0.64,-0.54,0.28,0.38,0.20,0.33,-0.03,-0.18
724,O)NC3=NC=C(C)S3725CC1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1CC1CC[NH+](CCCC(=O)C2=CC=C(F)C=C2)CC1,])C2=C(C=CC=C2)[S]1(=O)=O)C(=O)NC3=NC=C(C)S3,0.15,0.19,0.12,0.15,18,11.12,0.003,0.01,0.82,-0.72,-0.92,-0.82,1.26,1.05,-2.52,-2.06
726,C(O)=OC[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@@H]2[C@H](C)O[C@H](C[C@@H]2O),([O-])=OC[C@@H]1O[C@H](C[C@H]([NH3+])[C@@H]1O)O[C@@H]2[C@H](C)O[C@H](C[C@H]2O)O[C@H],0.48,0.60,7,4.96,1,1.41,0.14,0.20,0.32,-0.22,0.85,0.70,0.00,0.15,-0.85,-0.70
727,O[C@H]3C[C@@](O)(CC4=C(O)C5=C(C(=C34)O)C(=O)C6=CC=CC=C6C5=O)C(=O)COCO[C@@H]1C[C@@](C)(O)CC2=C1C(=C3C(=O)C4=C(O)C=C5C(=C4C(=O)C3=C2)O[C@,3C[C@@](O)(CC4=C3C(=C5C(=O)C6=C(C=CC=C6)C(=O)C5=C4O)O)C(=O)COCO[C@@H]1C[C@@](C)(O)CC2=C1C(=C3C(=O)C4=C(C(=O)C3=C2)C5=C(C=C4O)[C@@]6(C)O[C@@,2.4,3.02,2.5,4.05,21,13.52,,,0.38,0.48,0.40,0.61,1.32,1.13,,
728,@H]6O[C@]5(C)[C@@H](O)[C@H]([C@@H]6O)N(C)C)O,H](O5)[C@@H](O)[C@@H]([C@@H]6O)[NH+](C)C)O,9.14,7.26,11.61,11.70,13.22,12.59,,,0.96,0.86,1.06,1.07,1.12,1.10,,
729,CCOC(=O)C1(CCN(C)CC1)C2=CC=CC=C2CC(C)NCC(O)COC1=CC=CC2=C1C=C(C)[N,CCOC(=O)C1(CC[NH+](C)CC1)C2=CC=CC=C2CC(C)[NH2+]C[C@@H](O)COC1=C2C=C(C)[NH]C2,2.3,2.66,4.9,6.51,7.9,5.94,0.42,0.46,0.36,0.43,0.69,0.81,0.90,0.77,-0.38,-0.34
730,H]2,=CC=C1C[NH+]1CCCC[C@@H]1C(=O)NC2=C(C)C=CC=C2,2.17,2.05,5.83,9.60,4.61,4.22,0.51,0.47,0.34,0.31,0.77,0.98,0.66,0.63,-0.29,-0.33
731,CN1CCCCC1C(=O)NC2=C(C)C=CC=C2C,,0.95,1.14,6.8,8.82,2,2.42,0.3,0.35,0.02,0.06,0.83,0.95,0.30,0.38,-0.52,-0.45
732,CCCC(C)(COC(N)=O)COC(N)=O,CCCC(C)(COC(N)=O)COC(N)=O,0.7,0.88,0.6,1.29,14,7.12,1,0.72,0.15,-0.05,-0.22,0.11,1.15,0.85,0.00,-0.14
733,CCC1(CCCCN(C)C1)C2=CC=CC(=C2)O,CC[C@@]1(CCCC[NH+](C)C1)C2=CC(=CC=C2)O,3.3,3.20,28,21.91,1.7,2.55,0.73,0.57,0.52,0.51,1.45,1.34,0.23,0.41,-0.14,-0.24
734,S=C1NC=NC2=C1N=C[NH]2C[C@@H](O)[C@@H]1[C@H]2[C@@H](C),S=C1NC=NC2=C1N=C[NH]2C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N,1,1.07,15,12.17,1,1.57,0.85,0.67,0.00,0.03,1.18,1.09,0.00,0.20,-0.07,-0.17
735,C(=C(N2C1=O)C(O)=O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C,2C1=O)C([O-])=O)S[C@@H]3C[NH2+][C@@H](C3)C(=O)N(C)C,0.3,0.25,3.9,3.53,1,1.60,0.87,0.77,0.52,-0.60,0.59,0.55,0.00,0.20,-0.06,-0.11
736,O[S](=O)(=O)CCSCC1=C(O)C(=C(CO)C=N1)CO.O=C[C@@H]2,[O-][S](=O)(=O)CCS,0.65,0.52,20.5,8.77,0.36,0.70,,,0.19,-0.29,1.31,0.94,-0.44,-0.16,,
737,CCC(=O)N2,CC1=C(O)C(=C(CO)C=N1)CO,0.66,0.70,7.9,6.98,0.98,1.40,,,0.18,-0.16,0.90,0.84,-0.01,0.15,,
738,CC(C)NCC(O)C1=CC(=CC(=C1)O)OCO[C@@H](C)C(=O)N1CCN(CC1)C2=NC(=,CC(C)[NH2+]C[C@H](O)C1=CC(=CC(=C1)O)OCO[C@@H](C)C(=O)N1CCN(CC1)C2=NC3=CC(=C(,6.03,3.14,14.07,15.39,6.41,4.85,0.9,0.83,0.78,0.50,1.15,1.19,0.81,0.69,-0.05,-0.08
739,C3C=C(OC)C(=CC3=N2)OC)NCCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2,OC)C=C3C(=N2)N)OCCCC(=O)C(C[C@H](C)[NH+](C)C)(C1=CC=CC=C1),0.44,0.64,0.53,1.02,,,,,0.36,-0.20,-0.28,0.01,,,,
742,=CC=CC=C2,C2=CC=CC=C2,4.4,5.48,1.7,3.58,31,20.02,0.21,0.11,0.64,0.74,0.23,0.55,1.49,1.30,-0.68,-0.97
743,CN[C@@H](C)CC1=CC=CC=C1COC1=CC=CC(=C1C(=O)N[C@H]2[C@H]3S,C[NH2+][C@@H](C)CC1=CC=CC=C1COC1=C(C(=O)N[C@@H]2[C@H]3SC(C)(C)[C@@,4.3,3.41,4.4,5.68,12,11.60,0.85,0.67,0.63,0.53,0.64,0.75,1.08,1.06,-0.07,-0.17
744,C(C)(C)[C@@H](N3C2=O)C(O)=O)OC,H](N3C2=O)C([O-])=O)C(=CC=C1)OC,0.32,0.25,6.6,5.32,0.64,0.88,0.43,0.35,0.49,-0.60,0.82,0.73,-0.19,-0.05,-0.37,-0.45
745,CN1C=CNC1=SCCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=,CN1C=CNC1=SCCC#C[C@@H](C)[C@]1(CC=C)C(=O)NC(=O)N(C),0.86,0.98,3.7,4.57,2.4,2.60,,,0.07,-0.01,0.57,0.66,0.38,0.41,,
746,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C3=C,C1=OCN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C3=CC=C(C,1.1,0.81,12,6.84,1.6,2.62,0.27,0.21,0.04,-0.09,1.08,0.84,0.20,0.42,-0.57,-0.67
747,C=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O,0.43,0.54,2.1,2.39,3.9,4.52,0.37,0.30,0.37,-0.27,0.32,0.38,0.59,0.66,-0.43,-0.52
748,COC1=C2OC(=O)C=CC2=CC3=C1OC=C3,COC1=C2OC=CC2=CC3=C1OC(=O)C=C3,0.61,0.77,12,9.28,,,0.09,0.08,0.21,-0.11,1.08,0.97,,,-1.05,-1.09
749,C[C@](N)(CC1=CC=C(O)C(=C1)O)C(O)=OC[C@]([NH3+])(CC1=CC(=C(O)C=C1)O)C([O-])=OCC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@,CC[C@@H](CO)NC(=O)[C@H]1C[NH+](C)[C@@H,0.69,1.16,3.5,4.58,5.9,4.20,0.85,0.78,0.16,0.06,0.54,0.66,0.77,0.62,-0.07,-0.11
750,@H]2CC3=C[NH]C4=CC=CC(=C34)C2=C1C[N+]1(CC[C@@]23[C@H]4OC5=C(O)C=CC,]2CC3=C[NH]C4=C3C(=CC=C4)C2=C1C[N@+]1(CC[C@]23[C@H]4OC5=C2C(=CC=C5O)C,0.96,1.21,7.18,8.21,1.85,2.63,,,0.02,0.08,0.86,0.91,0.27,0.42,,
751,(=C25)C[C@@H]1[C@]3(O)CCC4=O)CC6CCC[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H],[C@@H]1[C@]3(O)CCC4=O)CC6CC6C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]3CC[C,2.6,2.06,22,19.27,2.5,2.93,0.87,0.70,0.41,0.31,1.34,1.28,0.40,0.47,-0.06,-0.15
752,3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]1,@@]4(C)[C@H](O)CC[C@H]4[C@H]13COC(=O)[C@@H]([C@@H]1CCCC[NH2+]1)C2=CC,0.8,1.01,20,14.84,0.65,0.93,,,0.10,0.01,1.30,1.17,-0.19,-0.03,,
753,COC(=O)C(C1CCCCN1)C2=CC=CC=C2C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=,=CC=C2C[C@H]1C[C@H]2[C@@H]3CC[C@@](O)(C(=O)C,2.2,2.66,0.55,1.86,4.8,6.06,0.85,0.72,0.34,0.42,-0.26,0.27,0.68,0.78,-0.07,-0.14
754,O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14CCN(CC)CCNC(=O)C1=CC(=C(N)C=C1OC)C,O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,1.2,0.87,6.1,4.62,2.3,2.41,0.23,0.13,0.08,-0.06,0.79,0.66,0.36,0.38,-0.64,-0.89
755,COC1=CC=C2C[C@@H]3C4=C(CC[N+]3(C)C)C=C(OC)C(=C4OC5=CC=C(C[C@H]6C7=C,COC1=C2OC3=CC4=C(CC[N+](C)(C)[C@H]4CC5=,3.2,2.23,5.7,7.65,7.2,3.87,0.6,0.54,0.51,0.35,0.76,0.88,0.86,0.59,-0.22,-0.27
756,C(=C(OC)C=C7CC[N+]6(C)C)OC1=C2)C=C5)CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=,CC=C(OC6=C7[C@@H](CC(=C2)C=C1)[N+](C)(C)CCC7=CC(=C6OC)OC)C=C5)C=C3OC,0.4,0.50,1.2,2.13,5.1,6.73,0.65,0.30,0.40,-0.30,0.08,0.33,0.71,0.83,-0.19,-0.52
757,C[S](=O)(=O)C1=CC=C2SC3=CC=CC=C3N(C,=O)N1C3=C(C)C=CC=C3C[S](=O)(=O)C1=CC2=C(SC3=C(C=CC=C3)N2CCC[,1.6,1.27,1.4,1.41,20,13.79,0.05,0.04,0.20,0.10,0.15,0.15,1.30,1.14,-1.30,-1.45
758,CCN4CCC(CC4)C(N)=O)C2=C1,NH+]4CCC(CC4)C(N)=O)C=C1COCCC1=CC=C(OC[C@@H](O)C[NH2+]C(C)C)C=,,,12.14,8.21,4,4.80,,,,,1.08,0.91,0.60,0.68,,
759,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1CN(C(C)=O)C1=C(I)C(=C(I)C(=C1I)C(O)=O),C1CN(C(C)=O)C1=C(I)C(=C(I)C(=C1I)NC(C)=O)C([O-,3.1,1.91,13,10.01,3.6,3.87,0.88,0.74,0.49,0.28,1.11,1.00,0.56,0.59,-0.06,-0.13
760,NC(C)=O,])=O,0.17,0.30,2.7,2.13,1.3,1.73,1,0.35,0.77,-0.52,0.43,0.33,0.11,0.24,0.00,-0.46
